EDR#,CIL#,Varone #,Langner #,Regio.Insula.Door ,Text of Inscription ,Caption for graffito,Translation,Commentary ,AGP = Update of CIL?,Contributors,,,,,,,,,,,
EDR128278,,,,,"〈:ad perpendiculum〉
+IRON
",Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 274, nr. 195 e p. 273 con apografo (M. Della Corte) (1)<br>CIL 04, 08656b con apografo (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128278 (3)",,,,,
EDR128641,,,,,Roma,Graffito mentiong Rome,Rome,,,,,,,,,"Not. Sc., 64, 1939, p. 275, nr. 197 (M. Della Corte) (1)<br>CIL 04, 08658a (2) <br>Latin on Stone, Epigraphic research and electronic archives, New York 2010, pp.47-48, 67 (R. Benefiel) (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128641 (4)",,,,,
EDR128642,,,,,"L(ucius)
Com(inius?)",Graffito naming Cominius?,L(ucius?) Com(inius?),,,,,,,,,"Not. Sc., 64, 1939, p. 275, nr. 199 (M. Della Corte) (1)<br>CIL 04, 08658b (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128642 (3)",,,,,
EDR128643,,,,,VCVI,Graffito,(Incomprehensible series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 275, nr. 200 (M. Della Corte) (1)<br>CIL 04, 08658c (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128643 (3)",,,,,
EDR128644,,,,,Er̲os,Graffito naming Eros,Eros,,,,,,,,,"Not. Sc., 64, 1939, p. 275, nr. 200 (M. Della Corte) (1)<br>CIL 04, 08659a (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128644 (3)",,,,,
EDR128645,,,,,"((:circulus circulum continens, tracti cum circino))
M̲(arcus) C̲e̲r̲r̲i̲nus",Drawing of a circle with a name,Marcus Cerrinius (between the lines of two concentric circles),,,,,,,,,"Not. Sc., 64, 1939, p. 275 (M. Della Corte) (1)<br>CIL 04, 08659b (2) <br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung und Bedeutung, Wiesbaden 2001, nr. 43 (Kreise) (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128645 (4)",,,,,
EDR128053,,,,,Lucilius,Graffito naming Lucilius,Lucilius,,,,,,,,,"Not. Sc., 64, 1939, p. 276, nr. 208 (M. Della Corte) (1)<br>CIL 04, 08666a (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 156 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128053 (4)",,,,,
EDR127366,,,,,Virilio,Graffito,(name?),,,,,,,,,"Not. Sc., 64, 1939, p. 276, nr. 209 (M. Della Corte) (1)<br>CIL 04, 08666b (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 156, con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127366 (4)",,,,,
EDR127430,,,,,X,Roman numeral,"""10""",,,,,,,,,"Not. Sc., 64, 1939, p. 277, nr. 214 (M. Della Corte) (1)<br>CIL 04, 08669a (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 156 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127430 (4)",,,,,
EDR127574,,,,,Lepidi,Graffito naming Lepidus,Of Lepidus ,,,,,,,,,"Not. Sc., 64, 1939, p. 277, nr. 218 (M. Della Corte) (1)<br>CIL 04, 08672a (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127574 (3)",,,,,
EDR127575,,,,,"〈:ad perpendiculum〉 
C(aius) Luciân̂us",Graffito naming Lucianus,Gaius Lucianus,,,,,,,,,"Not. Sc., 64, 1939, p. 277, nr. 219 (M. Della Corte) (1)<br>CIL 04, 08672b (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 157 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127575 (4)",,,,,
EDR128051,,,,,COLA,Graffito,(Beginning of a word),,,,,,,,,"Not. Sc., 64, 1939, p. 277, nr. 222 (M. Della Corte) (1)<br>CIL 04, 08675a con apografo (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128051 (3)",,,,,
EDR128046,,,,,Collatius,Graffito,Collatius,,,,,,,,,"Not. Sc., 64, 1939, p. 277, nr. 222 (M. Della Corte) (1)<br>CIL 04, 08675b (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128046 (3)",,,,,
EDR128047,,,,,Lucilius,Graffito naming Lucilius,Lucilius,,,,,,,,,"Not. Sc., 64, 1939, p. 278, nr. 223 (M. Della Corte) (1)<br>CIL 04, 08676a (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128047 (3)",,,,,
EDR128048,,,,,"Lucilius
Lucidae suae
uḅique sal(utem)",Greeting to Lucida,Lucilius greets his Lucida everywhere,,,,,,,,,"Not. Sc., 64, 1939, p. 278, nr. 224 (M. Della Corte) (1)<br>CIL 04, 08676b (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128048 (3)",,,,,
EDR167391,,,,,"BE
SAG̲",Graffito,(Incomprehensible series of letters),,,,,,,,,"Not. Sc. 64, 1939, p. 279-280, nr. 239, con apografo (M. Della Corte) (1)<br>CIL 04, 08683a con apografo (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167391 (3)",,,,,
EDR167398,,,,,"〈:ad perpendiculum〉
L(ucius) An[to]nius",Graffito naming Antonius,Lucius Antonius,,,,,,,,,"Not. Sc., 64, 1939, p. 279, nr. 235 (M. Della Corte) (1)<br>CIL 04, 08686a (2)	<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167398 (3)",,,,,
EDR167399,,,,,"〈:ad perpendiculum〉
Q(uintus) Antonius Magister",Graffito mentioning a teacher,"Quintus Antonius, teacher",,,,,,,,,"Not. Sc., 64, 1939, p. 279, nr. 236, con apografo (M. Della Corte) (1)<br>CIL 04, 08686b (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167399 (3)",,,,,
EDR167676,,,,,"R
R 
ÂP",Graffito,(Series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 281, nr. 249 (M. Della Corte) (1)<br>CIL 04, 08694a (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I e II, p. 160 e 522 con apographi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167676 (4)",,,,,
EDR167971,,,,,Uxsor (:Uxor),Graffito,Wife,,,,,,,,,"Not. Sc., 64, 1939, p. 281, nr. 256 (M. Della Corte) (1)<br>CIL 04, 08697a (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 522 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167971 (4)",,,,,
EDR167972,,,,,"P(ublius) Siculus
Hermia",Graffito naming Hermia,Publius Siculus Hermia,,,,,,,,,"Not. Sc., 64, 1939, p. 281, nr. 257 e p. 280 con apografo (M. Della Corte) (1)<br>CIL 04, 08697b (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 522 con apografo (3)<br>Am. Journ. Arch., 122, 2018, p. 222 (R. Benefiel e H. Sypniewski) (4)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167972 (5)",,,,,
EDR167681,,,,,"M̂ân̂dât̂us 
M̂ân̂dat̂us
m̂ûnûs
<:vacat>
Ạ
M 
M
",Graffito naming Mandatus,"Mandatus, Mandatus, games?, A, M, M",,,,,,,,,"Not. Sc., 64, 1939, p. 282, nr. 266-267 (M. Della Corte) (1)<br>CIL 04, 08706a con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I-II, p. 163 con fotos e p. 522 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167681 (4)",,,,,
EDR167685,,,,,"Ratio M(arci) Ugoni
pr(idie) (No)nas",Graffito mentioning a date,Account of Marcus Ugonius - the day before the Nones,,,,,,,,,"Not. Sc., 64, 1939,  p. 282, nr. 268 (M. Della Corte) (1)<br>CIL 04, 08706b (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I-II, p. 164 e p. 522 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167685 (4)",,,,,
EDR167688,,,,,R,Graffito,R,,,,,,,,,"Not. Sc., 64, 1939, p. 282, nr. 269 (M. Della Corte) (1)<br>CIL 04, 08707a (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I-II, p. 164 e p. 522 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167688 (4)",,,,,
EDR168020,,,,,Postumi ((quinque centum)),Graffito naming Postumius,"Postumius' - ""500"" ",,,,,,,,,"Not. Sc., 64, 1939, p. 283, nr. 277 (M. Della Corte) (1)<br>CIL 04, 08710a (bis) (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 166 con foto e p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168020 (4)",,,,,
EDR168021,,,,,Voltini ((mille)),Graffito naming Voltinus,"Voltinus' - ""1000"" ",,,,,,,,,"Not. Sc., 64, 1939, p. 289, nr. 311 (M. Della Corte) (1)<br>CIL 04, 08710a (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 166 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168021 (4)",,,,,
EDR168023,,,,,"Sec+dus 
Secu+",Graffito,"Secundus?, Secu(ndus?)",,,,,,,,,"Not. Sc., 64, 1939, p. 283, nr. 274-275  (M. Della Corte) (1)<br>CIL 04, 08710b (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168023 (4)",,,,,
EDR168042,,,,,"Felicula 
fellas",Insult,,,,,,,,,,"Not. Sc., 64, 1939, p. 283, nr. 276 (M. Della Corte) (1)<br>CIL 04, 08711a (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 166 con foto e p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168042 (4)",,,,,
EDR168043,,,,,"Arma meis atsueta (:adsueta)
umeris tibi debita
ponam, si mea confir=
mas prospera vota
Venus. Syntrophus 
〈:vacat〉 auget.",Poetic graffito,"I will put (down) the weapons accustomed to my shoulders, (which are) owed to you, if you, favorable Venus, answer my prayers. --Syntrophus enhances/augments (this prayer)",,,,,,,,,"Not. Sc., 64, 1939, p. 283-286, nr. 278 con foto e apografo (M. Della Corte) (1)<br>CIL 04, 08711b con apografo (2)<br>M. Gigante, Pompeiana.  Raccolta di studi per il secondo centenario degli scavi di Pompei, Napoli 1950, p. 135 (3)<br>M. Gigante, Civiltà delle forme letterarie nell'antica Pompei, Napoli 1979, p. 209 (4)<br>Zeitschr. Pap. Ep., 57, 1984, pp. 63-69 (W. Lebek) (5)<br>Stud. Philol. Val., 11, n.s. 8, 2008, p. 69-70 (P. Cugusi) (6) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 166 con foto e p. 523 con apografo (7)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168043 (8)",,,,,
EDR167695,,,,,A(ulus) Lịc̣ịṇịu̲s̲,Graffito naming Licinius,Aulus Lincinius,,,,,,,,,"Not. Sc., 64, 1939, p. 282, nr. 262 (M. Della Corte) (1)<br>CIL 04, 08715a (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 168 con foto e apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167695 (4)",,,,,
EDR167696,,,,,"Iucudus (:Iucundus)
male cala",Insult,,,,,,,,,,"Not. Sc., 64, 1939, p. 286, nr. 284 e p. 287 con apografo (M. Della Corte) (1)<br>CIL 04, 08715b (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 169 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167696 (4)",,,,,
EDR168024,,,,,"Lucilius
Lucidae ubique sal(utem)",Greeting to Lucida,Lucilius greets his Lucida everywhere,,,,,,,,,"Not. Sc., 64, 1939, p. 287, nr. 285 (M. Della Corte) (1)<br>CIL 04, 08717a (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168024 (4)<br>",,,,,
EDR168025,,,,,SVRR,Graffito,SURR,,,,,,,,,"Not. Sc., 64, 1939, p. 287, nr. 286 (M. Della Corte) (1)<br>CIL 04, 08717b (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168025 (4)",,,,,
EDR168045,,,,,"Quius (:Cuius)
〈:vacat〉
V(irum) B(onum) ÔV̂F (:oro vos faciatis)",Graffito,Whose? (He is a) good man. I ask that you make/elect him... (phrases usually used in campaign posters),,,,,,,,,"Not. Sc., 64, 1939, p. 290, nr. 313-314 (M. Della Corte) (1)<br>CIL 04, 08743a-b (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 174 con fotos e p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168045 (4)",,,,,
EDR168366,,,,,"R 
<:vacat>
M",Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 290, nr. 318 bis (M. Della Corte) (1)<br>CIL 04, 08748a (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168366 (4)",,,,,
EDR168367,,,,,〈:textus non legitur〉,Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 290, nr. 318 bis, con apografo (M. Della Corte) (1)<br>CIL 04, 08748b con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168367 (4)",,,,,
EDR167567,,,,,"〈:adperpendiculum〉
DTCIVBXA",Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 247, nr. 42 (M. Della Corte) (1)<br>CIL 04, 09280a (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167567 (3)",,,,,
EDR167568,,,,,"〈:ad perpendiculum〉
ABC",Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 248, nr. 45 (M. Della Corte) (1)<br>CIL 04, 09280b (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167568 (3)",,,,,
EDR167581,,,,,"ΜΕΖΗΘΙΚΛΛΙ
ΞΟΠ̣[---]",Greek Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 251, nr. 53 (M. Della Corte) (1)<br>CIL 04, 09281a (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167581 (3)",,,,,
EDR167583,,Drawing of a palm branch,,,"((:palma)) 〈:vacat〉 M
ΑΒΓ",Greek Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 253, nr. 66 (M. Della Corte) (1)<br>CIL 04, 09281b (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 113, con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167583 (4)",,,,,
EDR167589,,,,,"〈:ad perpendiculum〉
ABCDEFGHLIMPKONQRXTVS",Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 266, nr. 142 (M. Della Corte) (1)<br>CIL 04, 09285a (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 144, con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167589 (4)",,,,,
EDR167628,,,,,"〈:ad perpendiculum〉
ABĈDE̲F̲G̲H̲I̲L̲",Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 268, nr. 149 (M. Della Corte) (1)<br>CIL 04, 09285b (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. I, p. 144 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167628 (4)",,,,,
EDR167645,,,,,AB,Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 271, nr. 181 (M. Della Corte) (1)<br>CIL 04, 09287a (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167645 (3)",,,,,
EDR159412,8891,,,,Venimus hoc (:huc) cupidi. Scribitt (:scribit) Cornelius Martialis,Poetic graffito,We came here desiring...,,,,,,,,,"CIL 04, 08891 (1)<br>M. Gigante, Civilità della forme letterarie nell'antica Pompei, Naples 1979, p. 228 sg. (2)<br>A. Varone, Erotica Pompeiana: iscrizioni d'amore sui muri di Pompei, Rome 1994, p. 54 (3)<br>Zeitschr. Pap. Ep. 121, 1998, p. 80 sgg. (R. Wachter) (4)<br>Stud. Philol. Val. 6, 2002-2003, p. 275 (R. Hernández Pérez) (5)<br>Riv. Stud. Pomp. 17, 2006, p. 7 sgg. (P. Kruschwitz) (6)<br>Stud. Philol. Val. 11, 2008, p. 76 sg. (P. Cugusi) (7)<br>Stud. Philol. Val. 11, 2008, p. 248 sgg. (P. Kruschwitz) (8)<br>Am. Jour. Arch. 114, 2010, p. 67 sgg. (R. Benefiel) (9)<br>Latin on Stone: Epigraphic Research and Electronic Archives, Lexington 2010, p. 51 sgg. (R. Benefiel) (10)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I, p. 206, con foto e vol. II, p. 527 con apografo (11)<br>K. Milnor, Graffiti and the Literary Landscape of Roman Pompeii, Oxford 2014, p. 182 sgg. (12)",,,,,
EDR079495,8898,,,,"T(h)iop(h)ilus canis
cunnu(m) lingere no=
li puellis in muro",Insult ,,,,,,,,,,"CIL 04, 08898 (1)<br>Epigraphica, 30, 1968, 115-118 (H. Solin) (2)<br>Hermes, 105, 1977, 252-253 (J. Hallett) - AE 1984 (3)<br>Liverp. Class. Month., 7, 1982, 86-87. 150 (J.N. Adams) - AE 1984 (4)<br>AE 1984, 0205 (5)<br>J. N. Adams, The Latin Sexual Vocabulary, London 1990, p. 135 (6)<br>A. Varone, Erotica Pompeiana, Roma 2002, p. 82 (7)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt Imagines, Roma 2012, vol. I p. 206 con foto (8)<br>HD001872 (9)",,,,,
EDR147519,8903,,,,"Ga (:Gaius) Sabinius Statio plurima (:plurimam) sal(utem)

〈:vv. 2-4 intra lineis dispositis in quadrato scripti sunt〉
Viator Pompeis pane (:panem) gustas
Nuceriae bibes
Nucc++++es",,"Gaius Sabinius gives lots and lots of greetings to Statius.   --Traveler, at Pompeii you eat bread. At Nuceria, you will drink! At Nuceria...",,,,,,,,,"CIL 04, 08903 con apografo (1)<br>Arctos, 43, 2009, p. 81 (P. Kruschwitz, V. Cambell) (2)<br>Am. Journ. Arch., 114, 2010, p. 65 (R. Benefiel) (3)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 208, con apografo (4)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR147519 (5)",,,,,
EDR165330,8936,,,,Ζώσιμος Ψ Θ Σ,Graffito naming Zosimus,Zosimus Ψ Θ Σ,,,,,,,,,,,,,,
EDR163351,4017,,,,"DCCCCC
        DCCCCLXXXX=s
                DCCCLXXXXVIIII=-s-
",Numerical graffito,"1000
990 1/2
899 (?)",,,,,,,,,,,,,,
EDR163395,4018,,,,ROMAN,Place(?),at Rome,,,,,,,,,,,,,,
EDR163397,4019,,,,"FELIX V
C (backwards) - C
",Names,,,,,,,,,,,,,,,
EDR163399,4020,,,,LVCIVS,Names,Lucius,,,,,,,,,,,,,,
EDR163400,4021,,,,TELESIVS,Names,Telesius,,,,,,,,,,,,,,
EDR163701,4022,,,,MEN,,,,,,,,,,,,,,,,
EDR163702,4023,,,,FELIC(V)LA VERNA A II,Graffito about a slave,"Felicula, home-born slave, (for) 2 asses",,,,,,,,,,,,,,
EDR163703,4024,,,,"MENANDER
BELLIS MORIBVS
AERIS ASS II",Graffito about a slave,"Menander, with nice manners,(for) two bronze asses",,,,,,,,,,,,,,
EDR163402,4025,,,,"SVCESSA VERNA
BELLIS MORIBVS
     A P",Graffito about a slave,"Successa, with nice manners, ? ",,,,,,,,,,,,,,
EDR163403,4026,,,,Successa,Graffito with a name,Successa,,,,,,,,,,,,,,
EDR163404,4027,,,,Balai,Graffito,[Text of uncertain meaning],,,,,,,,,,,,,,
EDR163704,4028,,,,Licintus,Graffito with a name,Licintus,,,,,,,,,,,,,,
EDR163405,4029,,,,Hic ego bis futui formae ce,Graffito,Here I screwed twice. of beauty? (other letters here),,,,,,,,,,,,,,
EDR163524,4030,,,,Duobus,Graffito with a number,With two (guys?),,,,,,,,,,,,,,
EDR163525,4031,,,,[...]Ic Roma,Graffito with a place name,Rome (here?),,,,,,,,,,,,,,
EDR163526,4032,,,,Samatissa,Graffito with a name,Samatissa,,,,,,,,,,,,,,
EDR163527,4033,,,,Sarnus,Graffito with a name,Sarnus,,,,,,,,,,,,,,
EDR163882,4034,,,,Quartila Fuficia Tu?eriti co filia,Graffito with a name,"Quartilla Fuficia, (???) daughter",,,,,,,,,,,,,,
EDR163883,4035,,,,Quati,Graffito,Shake,,,,,,,,,,,,,,
EDR159671,4036,,,,Conti?u?re o siqua c?tit quatit,Graffito with an Aeneid quote and other words,(They all) fell silent.  If any(?).  It shakes (?) It shakes.,,,,,,,,,,,,,,
EDR163885,4037,,,,Emimimusoma,Graffito,[Text of uncertain meaning.],,,,,,,,,,,,,,
EDR163886,4038,,,,XIIII III XX XXV XXVIII,Roman numeral,"14, 3, 20, 25, 28",,,,,,,,,,,,,,
EDR163887,4039,1,,,VIII IIIIIIII,Tally marks,"8, 8",,,,,,,,,,,,,,
EDR166068,4039,2,,,IIIIIIVIIIII,Tally marks,"16 (6, 5, 5)",,,,,,,,,,,,,,
EDR166069,4039,3,,,IIIIIIIIIIIIIII,Tally marks,16,,,,,,,,,,,,,,
EDR166070,4039,4,,,IIIIIIIIIIIIIIIII,Tally marks,18,,,,,,,,,,,,,,
EDR166071,4039,5,,,IIIIIIIIIIIIII[GIANT I]IIIIIIIIIIIIIIII,Tally marks,"31 (14, tall 1, 16)",,,,,,,,,,,,,,
EDR166072,4039,6,,,IIIIIIII,Tally marks,8,,,,,,,,,,,,,,
EDR166073,4039,7,,,IIIIII,Tally marks,6,,,,,,,,,,,,,,
EDR166074,4039,8,,,IIIIIIIIIII,Tally marks,11,,,,,,,,,,,,,,
EDR166075,4039,9,,,IIIIIIIIIIIIIIIIIIII,Tally marks,20,,,,,,,,,,,,,,
EDR166076,4039,10,,,IIIIIIIIIIIIIII,Tally marks,15,,,,,,,,,,,,,,
EDR166077,4039,11,,,LVIIII,Tally marks,59,,,,,,,,,,,,,,
EDR166078,4039,12,,,IIIIIIIIIIIII,Tally marks,13,,,,,,,,,,,,,,
EDR166079,4039,13,,,V,Tally marks,5,,,,,,,,,,,,,,
EDR166081,4039,14,,,IIIII,Tally marks,5,,,,,,,,,,,,,,
EDR166082,4039,15,,,XXXXXIII,Tally marks,53,,,,,,,,,,,,,,
EDR166083,4039,16,,,X II S,Tally marks,12 1/2,,,,,,,,,,,,,,
EDR166084,4039,17,,,V,Tally marks,5,,,,,,,,,,,,,,
EDR166085,4039,18,,,VI,Tally marks,6,,,,,,,,,,,,,,
EDR166086,4039,19,,,IIIIIIII,Tally marks,8,,,,,,,,,,,,,,
EDR166087,4039,20,,,IIIIII (vertically) VIII III,Tally marks,"6 (written vertically), 8, 3",,,,,,,,,,,,,,
EDR166088,4039,21,,,IIIIIIIII ,Tally marks,9,,,,,,,,,,,,,,
EDR166089,4039,22,,,VI,Tally marks,6,,,,,,,,,,,,,,
EDR166090,4039,23,,,VIII,Tally marks,8,,,,,,,,,,,,,,
EDR166091,4039,24,,,XVIIII,Tally marks,18,,,,,,,,,,,,,,
EDR166092,4039,25,,,XXII,Tally marks,22,,,,,,,,,,,,,,
EDR166093,4039,26,,,IIIXCVX,Tally marks,"3, 10, 100, 5, 10",,,,,,,,,,,,,,
EDR166094,4039,27,,,"XVI, XXI",Tally marks,"16, 21",,,,,,,,,,,,,,
EDR166095,4039,28,,,XV,Tally marks,15,,,,,,,,,,,,,,
EDR166096,4039,29,,,XXXX,Tally marks,40,,,,,,,,,,,,,,
EDR166097,4039,30,,,VIIII S,Tally marks,8.5,,,,,,,,,,,,,,
EDR166098,4039,31,,,XVI S,Tally marks,16.5,,,,,,,,,,,,,,
EDR166099,4039,32,,,XII,Tally marks,12,,,,,,,,,,,,,,
EDR163888,,,,,IIIIII,Tally marks,6,,,,,,,,,,,,,,
EDR166065,,,,,IIIIIIIII,Tally marks,9,,,,,,,,,,,,,,
EDR166066,,,,,IIIIIIIII,Tally marks,8,,,,,,,,,,,,,,
EDR166067,,,,,XX,Numerical graffito,20,,,,,,,,,,,,,,
EDR163889,4041,,,,M Caes,Name,M(arcus) Caes(ar),,,,,,,,,,,,,,
EDR163891,4042,,,,"Pelias
Alcestis",Names,Pelias Alcestis,,,,,,,,,,,,,,
EDR168159,4043,,,,Rubens(?) Rub(?),?,?,,,,,,,,,,,,,,
EDR168160,4044,,,,"VII K(alendas)
Prim(us)
VI K(alendas)
Felix
V K(alendas)
Germanus",Appointment calendar,"Seven days before the Kalends, Primus. Six days before the Kalends, Felix. Five days before the Kalends, Germanicus",,,,,,,,,,,,,,
EDR168161,4045,,,,"XII K(alendas) Ian(uarius)
Primus Felix
XI K(alends)
G(ermanus)
X K(alendas) Felix
IX K(alendas) Felix
IIX K(alendas)
G(ermanus)
VII K(alendas) II[---] 
G(ermanus)",Appointment calendar,"Twelve days before the Kalends of January, Primus Felix. Eleven days before the Kalends (of January), Germanus. Ten days before the Kalends (of January) Felix. Nine days before the Kalends (of January), Felix. Eight days before the Kalends (of January), Germanus. Seven days before the Kalends (of January?), Germanus",,,,,,,,,,,,,,
EDR168350,,,,,III,Tally marks,3,,,,,,,,,,,,,,
EDR168352,,,,,XIII,Number,13,,,,,,,,,,,,,,
